QUOTE,AUTHOR
"My formula for success is rise early, work late, and strike oil.",Paul Getty
Winning in Afghanistan is having a country that is stable enough to ensure that there is no safe haven for Al Qaida or for a militant Taliban that welcomes Al Qaida. That's really the measure of success for the United States.,Leon Panetta
"I'm in the studio 24 hours a day. It's true that once you get a certain level of success, you become a target. Talk magazine should be ashamed of themselves.",Puff Daddy
"In a balanced organization, working towards a common objective, there is success.",Arthur Helps
One is never ready for success. It consecrates and looses you at the same time.,Isabelle Adjani
It's both rebellion and conformity that attack you with success.,Amy Tan
I consider 'Dr. Horrible' a tremendous success. The fact that it won an Emmy I just think lends validity to what we were doing and the point we were trying to make: taking the power into someone else's hands and changing the world.,Nathan Fillion
"But Big Oil and Big Coal have always been as skilled at propaganda as they are at mining and drilling. Like the tobacco industry before them, their success depends on keeping Americans stupid.",Jeff Goodell
"To burn always with this hard, gem-like flame, to maintain this ecstasy, is success in life.",Walter Pater
For movies to get greenlit solely based on the success of other movies that have a lot of women in them? It's so ridiculous to me.,Kristen Wiig
"I have decided to fight for my country, because we have build a success story in Guanajuato, with real results and more yet to come in the next two years.",Vicente Fox
Success tempts many to their ruin.,Phaedrus
"Though I was excited about the Sojourner Truth play, it was not reassuring to think that my entire future might depend on the success of that one show.",Ethel Waters
The real end winner of NAFTA is going to be Mexico because we have the human capital. We have that resource that is vital to the success of the U.S. economy.,Vicente Fox
I feel true success comes from being able to work and the love for it.,Kiana Tom
"People need to realise what real happiness and success is, because success as an actor is fleeting. You can be up there one day and gone the next.",Chuck Norris
"My first attempt at a kiss was in fifth grade, but it didn't go so well. Later, I used Boyz II Men and Jodeci songs to come on to girls. I had more success.",John Legend
"To this day, most people think of me as the fastest human. They don't really think me as a long jumper, although that's the event I had more success in.",Carl Lewis
There is no correlation between a childhood success and a professional athlete.,Carl Lewis
"Mass communication, radio, and especially television, have attempted, not without success, to annihilate every possibility of solitude and reflection.",Eugenio Montale
I'd rather a young black actor read about success as opposed to how tough it was. I get these roles because I can act and that's it. Hopefully that's it.,Idris Elba
"Success is hard in general for most women. We now have such busy lives, and we're told we can do everything - you know, we can have the relationship and the marriage and the kids and the career.",Cat Deeley
Four years of football are calculated to breed in the average man more of the ingredients of success in life than almost any academic course he takes.,Knute Rockne
"I've had a lot of success over the years racing in New York, but the main point is that I feel the marathon is a different event, a lot more my event.",Paula Radcliffe
I did not become successful in my work through embracing or engaging in celebrity culture. I never signed away my privacy in exchange for success.,Steve Coogan
The success of Torn was a bit too much for me. I took a year off and was still scared to start the second album.,Natalie Imbruglia
"Happy people are ignoramuses and glory is nothing else but success, and to achieve it one only has to be cunning.",Mikhail Lermontov
"You may lose your wife, you may lose your dog, your mother may hate you. None of those things matter. What matters is that you achieve success and become free. Then you can do whatever you like.",Kevin O'Leary
"Success is very ephemeral. You depend entirely on the desire of others, which makes it difficult to relax.",Eva Green
Success comes in waves.,Guy Pearce
"I can't imagine wanting to be famous just for the sake of being famous. I think fame should come along with success, talent.",Kat Dennings
"We just want to win. That's the bottom line. I think a lot of times people may become content with one championship or a little bit of success, but we don't really reflect on what we've done in the past. We focus on the present.",Derek Jeter
There are so few women in general who aren't completely threatened and confused by other women's success. It's very disappointing.,Sandra Bernhard
"I don't understand why people whose entire lives or their corporate success depends on communication, and yet they are led on occasion by CEOs who cannot talk their way out of a paper bag and don't care to.",Frank Luntz
Sometimes success comes in ways you don't expect.,Ben Barnes
I think that my biggest attribute to any success that I have had is hard work. There really is no substitute for working hard.,Maria Bartiromo
You always pass failure on your way to success.,Mickey Rooney
Success listens only to applause. To all else it is deaf.,Elias Canetti
There's nothing so aphrodisiacal for a woman as money and success.,Wilbur Smith
"The FHA's success provides strong evidence that government can and should play a role in the nation's mortgage finance system. It also demonstrates that although government intervention in the economy during the Great Recession was messy, things would have been a lot messier without it.",Mark Zandi
"Whatever success I've had, I always like to top it.",Bernie Mac
"We're born with success. It is only others who point out our failures, and what they attribute to us as failure.",Whoopi Goldberg
"To win in Australia, for me, has to be the ultimate success because the Aussies live for sport.",Ian Botham
A variety of national and international studies indicate that the broad-based deployment of information technology can have a substantial impact on our nation's economic productivity and growth as well as the educational and social success of our citizens.,Tim Holden
The fame of heroes owes little to the extent of their conquests and all to the success of the tributes paid to them.,Jean Genet
"All these people who say success changes people well, no, it just magnifies what's there.",Kevin Smith
"Success is not a destination, but the road that you're on. Being successful means that you're working hard and walking your walk every day. You can only live your dream by working hard towards it. That's living your dream.",Marlon Wayans
"Everyone applauds each other's success in Hollywood because they know how tough it is, but it really comes down fundamentally to the process.",Robert Rodriguez
"My ambition was to stop waiting tables. That was how I measured success: finally, I was able to stop waiting tables, and I was able to pay the rent, and that was by being a stand-up comic. Not a very good stand-up comic, but good enough to make a living.",Graham Norton
"I had come to the point when I realized it was unlikely that my film career was going to move beyond a certain level of role. And I was - because I had graphic instances of it - handicapped by the success of Star Trek. A director would say, 'I don't want Jean-Luc Picard in my movie' - and this was compounded by X-Men as well.",Patrick Stewart
"More people on unemployment benefits is not success in America, fewer people on not because we kicked them off but because they have been able to get a job in the private sector, because government got out of the way.",Scott Walker
"I think most people believe success in government is how many fewer people are in government, not because you kick them off of benefits like unemployment but they've been able to control their own destiny because private sector employers have created more jobs.",Scott Walker
"With the success of the last three or so years, when a lot of people start treating you differently, there's a danger that you may start to think of yourself differently. You rely on your friends to say, 'Hey, wake up!'",David Schwimmer
"If the film is a hit then everyone shares the success. If it is going to be a disaster then it might as well be because of me, not because of somebody else.",Salman Khan
"For the past few years, I was the more visible Asian performer, and I think it gave young girls a kind of role model showing it's possible to actually reach success doing movies.",Joan Chen
"I came from a family where I felt great pressure to be financially successful, and I felt that staying in Chicago and doing theater, I was, in all likelihood, not going to find financial success.",David Schwimmer
"For me, I don't feel it is a success in the career to be the pretty woman career success comes from being characters who tell us something about the truth.",Emmanuelle Beart
"And really, the basis, I think, of achieving some success in what I want to do today comes from my mother's push to get me to read and to make something of myself from the standpoint of an education.",Sam Donaldson
"If I can procure three hundred good substantial names of persons, or bodies, or institutions, I cannot fail to do well for my family, although I must abandon my life to its success, and undergo many sad perplexities and perhaps never see again my own beloved America.",John James Audubon
"I've always been too hard on myself to behave like I've arrived or even to enjoy whatever success I've had. I've always envisioned myself higher than where I was and I still do. With each success I think, 'That's nice but I'm supposed to go there!'",Nicole Scherzinger
"Success is a process, a quality of mind and way of being, an outgoing affirmation of life.",Alex Noble
"For globalization to work for America, it must work for working people. We should measure the success of our economy by the breadth of our middle class, and the scope of opportunity offered to the poorest child to climb into that middle class.",John J. Sweeney
"We had maybe the greatest success of any company that I know of in Paris, and after two or three years I wanted to do this same number that we did for PBS, so we did it and Paris had always considered us their darlings.",Katherine Dunham
"It's hard for children's authors to be accepted when they try to write adult books. J.K. Rowling is the exception because people are so eager to read anything by her, but it took Judy Blume three or four tries before she had a success.",R. L. Stine
People of mediocre ability sometimes achieve outstanding success because they don't know when to quit. Most men succeed because they are determined to.,"George Allen, Sr."
"Women face enough pressures and challenges in a workplace that is still depressingly biased against a female's success. Add to that, the fact that the very thing many women I know find most rewarding (having kids) is now frowned upon.",Mika Brzezinski
Success is what you do with your ability. It's how you use your talent.,"George Allen, Sr."
Other people's success spurs me on to do well and gives me motivation.,Nicholas Hoult
"I've always known I would be a success, but I was surprised at the way it came.",Eva Gabor
Nothing reinforces a professional relationship more than enjoying success with someone.,Harold Ramis
The first myth of management is that it exists. The second myth of management is that success equals skill.,Robert Heller
"I don't want to wake up and be bored. That's probably my greatest fear is to have nothing to do. What better job is there than to play quarterback for an NFL team, and certainly one that I've been on for a long time and had success with? I don't plan on giving it up any time soon.",Tom Brady
I thought doing reality TV would be the greatest success of my life or the biggest mistake.,Bethenny Frankel
Nothing fails like success nothing is so defeated as yesterday's triumphant Cause.,Phyllis McGinley
"People repeat behaviour that leads to flooding their brains with pleasurable chemicals. The short-term reward loop acts over hours to years, and the long-term reproductive success loop over generations.",Keith Henson
"Every success in limiting armaments is a sign that the will to achieve mutual understanding exists, and every such success thus supports the fight for international law and order.",Ludwig Quidde
Success is 99 percent failure.,Soichiro Honda
"I have an idea of who I want to be, I have a vision of my own success.",Wiz Khalifa
"Well, I believe that the depth of your struggle can determine the height of your success. I was inspired to come out of everything I've been through and end up in a place where I never thought that I would be.",R. Kelly
"Success turns a lot of people off. I have a pretty solid sense of joy and respect that irritates people, and can irritate me, too.",Dave Matthews
"I always envisioned myself being a rapper and being in the game and having success, but you never know what it feels like or how you're going to be when you're there.",Wiz Khalifa
"Girlfriend and 100 Percent Fun were my two peeks, around '92 and '96. The reality is that the times I had the most media success, sold lots of records and played bigger shows, I had the least control of my own life.",Matthew Sweet
"I was successful materially, but I know life is much more than worldly success. I saw all these blessings God had given me. The way to give thanks is obedience to God.",Hakeem Olajuwon
"Whenever you analyse anyone who has had any success and they're in the headlines, you will find they are human and make mistakes. I'm certainly that and I've made a lot of mistakes.",Jeffrey Archer
"At this point, I can't say what network would be picking it up, but I know that it would be a success.",Christy Romano
"I put &pound150,000 into the stage production of Grease and have got back &pound1.5 million so far. It has been a fantastic success.",Jeffrey Archer
The only yardstick for success our society has is being a champion. No one remembers anything else.,John Madden
Elegance is not a dispensable luxury but a factor that decides between success and failure.,Edsger Dijkstra
I used to think that losing made you more hungry and determined but after my success at the Olympics and the U.S. Open I realise that winning is the biggest motivation.,Andy Murray
"I don't like Tommy on Broadway at all. I like the music, I'm pleased with Pete's success but I don't like what they've done to it.",Roger Daltrey
"Picture yourself vividly as winning, and that alone will contribute immeasurably to success.",Harry Emerson Fosdick
My overnight success was really 15 years in the making. I'd been writing songs since I was 6 and playing in bands and performing since I was 14.,Lisa Loeb
"You should put time into learning your craft. It seems like people want success so quickly, way before they're ready.",Lucinda Williams
"In hindsight, I slid into arrogance based upon past success.",Reed Hastings
"If you come into success too soon, you'll burn out and be finished before you know it. If you let the maturation process happen naturally, you'll be happier with yourself in the end.",Lucinda Williams
"I'm a mum, so my wardrobe consists of sweaters and jeans. As long as I don't leave the house forgetting my jeans, I count that as a fashion success.",Gail Porter
"I'm extremely ambitious. I don't know why people are afraid to say that. I won't sell my soul to the devil, but I do want success and I don't think that's bad.",Jada Pinkett Smith
Former Olympians also get paid to make appearances. Many of them won their medals in an era when Olympic success didn't go hand-in-hand with financial success.,Mary Lou Retton
"Success comes to a writer as a rule, so gradually that it is always something of a shock to him to look back and realize the heights to which he has climbed.",P. G. Wodehouse
I just want to continue the success and be an athlete that is shown in a good light in New York City.,Victor Cruz
My wife Elizabeth and I started The Really Terrible Orchestra for people like us who are pretty hopeless musicians who would like to play in an orchestra. It has been a great success. We give performances we've become the most famous bad orchestra in the world.,Alexander McCall Smith
"I think people in Botswana are pleased that my books paint a positive picture of their lives and portray the country as being very special. They've made a great success of their country, and the people are fed up with the constant reporting of only the problems and poverty of the continent. They welcome something which puts the positive side.",Alexander McCall Smith
I'm astonished by my success.,Danielle Steel
It's the price of success: people start to think you're omnipotent.,Ben Bernanke
The secret of my success is my hairspray.,Richard Gere
"Success, in whatever form it takes, is a tricky thing - once you've achieved your goal, then what? Where do you aim?",Arabella Weir
"Your chances of success are directly proportional to the degree of pleasure you desire from what you do. If you are in a job you hate, face the fact squarely and get out.",Michael Korda
"It's nice, being brought up with no money at all. It's just not how I measure success, so that makes it a bunch easier.",Bode Miller
"Taxation is the price we pay for failing to build a civilized society. The higher the tax level, the greater the failure. A centrally planned totalitarian state represents a complete defeat for the civilized world, while a totally voluntary society represents its ultimate success.",Mark Skousen
Immigrants provide skills that we simply cannot afford to do without. They have contributed hugely to Britain's success.,Charles Kennedy
Independent films have a very different cachet than success films.,Diane Lane
"The delusions of self-love cannot be prevented, but intellectual misconceptions as to the means of achieving success may be corrected.",George Henry Lewes
"I would love to be a guest on a talk show or a panel that shows women who have been on reality shows who've had success, to prove to audiences that you don't have to be a fool to become successful.",NeNe Leakes
When making music I sink myself into the process as deeply as I can and forget all of the success.,Enya
"I think that everything you do helps you to write if you're a writer. Adversity and success both contribute largely to making you what you are. If you don't experience either one of those, you're being deprived of something.",Shelby Foote
The writing of a melody is an emotional moment success doesn't make it easy.,Enya
Nothing good comes in life or athletics unless a lot of hard work has preceded the effort. Only temporary success is achieved by taking short cuts.,Roger Staubach
"It's an awesome responsibility, not only to maintain the level of success the NFL has, but to build on that.",Roger Goodell
Fame and success are very different things.,Enya
It's not just the NFL. Every other league has a draft. It has been fundamental to the success of professional sports.,Roger Goodell
"Once you can accept failure, you can have fun and success.",Rickey Henderson
